time,x,y,force
1,25,82,1.57
2,25,82,1.57
3,25,82,1.57
4,25,82,1.57
5,25,82,1.57
6,25,82,1.57
7,25,82,1.57
8,25,82,1.57
9,25,82,3.14
10,25,82,3.14
11,25,81,1.57
12,25,82,3.14
13,25,81,1.57
14,25,82,3.14
15,25,81,1.57
16,25,82,4.71
17,25,81,1.57
18,25,82,4.71
19,25,81,1.57
20,25,82,4.71
21,25,81,3.14
22,25,82,4.71
23,25,81,3.14
24,25,82,6.27
25,25,81,3.14
26,25,82,6.27
27,25,81,3.14
28,25,82,6.27
29,25,81,3.14
30,25,82,7.84
31,25,81,4.71
32,25,82,7.84
33,25,81,4.71
34,25,82,7.84
35,25,81,4.71
36,25,82,9.41
37,25,81,4.71
38,25,82,9.41
39,25,81,6.27
40,25,82,9.41
41,25,83,1.57
42,25,81,6.27
43,25,82,10.98
44,25,83,1.57
45,25,81,6.27
46,25,82,12.55
47,25,83,1.57
48,25,81,7.84
49,25,82,12.55
50,25,83,1.57
51,25,81,7.84
52,25,82,14.12
53,25,83,3.14
54,25,81,9.41
55,25,82,15.69
56,25,83,3.14
57,25,81,10.98
58,25,82,17.25
59,25,83,3.14
60,25,81,12.55
61,25,82,20.39
62,25,83,3.14
63,25,81,14.12
64,25,82,21.96
65,25,83,4.71
66,25,85,1.57
67,25,81,15.69
68,25,82,25.10
69,25,83,4.71
70,25,85,1.57
71,25,81,17.25
72,25,82,28.24
73,25,83,6.27
74,25,85,1.57
75,25,81,18.82
76,25,82,31.37
77,25,83,6.27
78,25,85,3.14
79,25,81,18.82
80,25,82,31.37
81,25,83,7.84
82,25,85,3.14
83,25,81,18.82
84,25,82,31.37
85,25,83,7.84
86,25,85,4.71
87,25,81,17.25
88,25,82,29.80
89,25,83,9.41
90,25,85,4.71
91,25,81,15.69
92,25,82,26.67
93,25,83,9.41
94,25,85,4.71
95,25,81,12.55
96,25,82,21.96
97,25,83,9.41
98,25,85,4.71
99,25,81,7.84
100,25,82,17.25
101,25,83,9.41
102,25,85,4.71
103,25,81,3.14
104,25,82,12.55
105,25,83,9.41
106,25,85,6.27
107,25,81,1.57
108,25,82,7.84
109,25,83,7.84
110,25,85,6.27
111,25,82,3.14
112,25,83,6.27
113,25,85,6.27
114,25,82,1.57
115,25,83,4.71
116,25,84,1.57
117,25,85,4.71
118,25,83,3.14
119,25,84,1.57
120,25,85,4.71
121,25,84,1.57
122,25,85,4.71
123,25,84,1.57
124,25,85,4.71
125,25,85,3.14
126,25,85,3.14
127,25,85,1.57
128,24,82,1.57
129,24,83,1.57
130,24,81,1.57
131,24,82,3.14
132,24,83,4.71
133,24,81,1.57
134,24,82,3.14
135,24,83,7.84
136,24,81,1.57
137,24,82,4.71
138,24,83,9.41
139,24,81,3.14
140,24,82,4.71
141,24,83,10.98
142,24,80,1.57
143,24,81,3.14
144,24,82,4.71
145,24,83,12.55
146,24,80,1.57
147,24,81,3.14
148,24,82,4.71
149,24,83,12.55
150,24,80,1.57
151,24,81,3.14
152,24,82,4.71
153,24,83,12.55
154,24,80,1.57
155,24,81,3.14
156,24,82,4.71
157,24,83,12.55
158,24,80,1.57
159,24,81,3.14
160,24,82,4.71
161,24,83,12.55
162,24,80,1.57
163,24,81,3.14
164,24,82,6.27
165,24,83,14.12
166,24,80,1.57
167,24,81,3.14
168,24,82,6.27
169,24,83,14.12
170,24,80,1.57
171,24,81,3.14
172,24,82,6.27
173,24,83,14.12
174,24,80,3.14
175,24,81,3.14
176,24,82,6.27
177,24,83,15.69
178,24,84,1.57
179,24,79,1.57
180,24,80,3.14
181,24,81,4.71
182,24,82,6.27
183,24,83,15.69
184,24,84,1.57
185,24,79,1.57
186,24,80,3.14
187,24,81,4.71
188,24,82,6.27
189,24,83,17.25
190,24,84,1.57
191,24,79,1.57
192,24,80,3.14
193,24,81,4.71
194,24,82,7.84
195,24,83,17.25
196,24,84,1.57
197,24,79,3.14
198,24,80,4.71
199,24,81,4.71
200,24,82,7.84
201,24,83,18.82
202,24,84,3.14
203,24,79,3.14
204,24,80,4.71
205,24,81,6.27
206,24,82,7.84
207,24,83,20.39
208,24,84,3.14
209,24,79,3.14
210,24,80,4.71
211,24,81,6.27
212,24,82,7.84
213,24,83,20.39
214,24,84,3.14
215,24,79,3.14
216,24,80,6.27
217,24,81,6.27
218,24,82,9.41
219,24,83,21.96
220,24,84,3.14
221,24,79,3.14
222,24,80,6.27
223,24,81,6.27
224,24,82,9.41
225,24,83,23.53
226,24,84,3.14
227,24,79,3.14
228,24,80,6.27
229,24,81,7.84
230,24,82,9.41
231,24,83,25.10
232,24,84,4.71
233,24,79,3.14
234,24,80,6.27
235,24,81,7.84
236,24,82,9.41
237,24,83,26.67
238,24,84,4.71
239,24,79,4.71
240,24,80,7.84
241,24,81,7.84
242,24,82,10.98
243,24,83,28.24
244,24,84,4.71
245,24,79,4.71
246,24,80,7.84
247,24,81,9.41
248,24,82,10.98
249,24,83,29.80
250,24,84,6.27
251,24,79,4.71
252,24,80,7.84
253,24,81,9.41
254,24,82,10.98
255,24,83,31.37
256,24,84,6.27
257,24,79,4.71
258,24,80,7.84
259,24,81,9.41
260,24,82,12.55
261,24,83,32.94
262,24,84,6.27
263,24,79,4.71
264,24,80,7.84
265,24,81,9.41
266,24,82,12.55
267,24,83,34.51
268,24,84,7.84
269,24,79,3.14
270,24,80,7.84
271,24,81,10.98
272,24,82,14.12
273,24,83,36.08
274,24,84,9.41
275,24,79,3.14
276,24,80,9.41
277,24,81,10.98
278,24,82,14.12
279,24,83,39.22
280,24,84,9.41
281,24,79,3.14
282,24,80,9.41
283,24,81,10.98
284,24,82,14.12
285,24,83,42.35
286,24,84,10.98
